runNumber,runTime_seconds,tests,failures,totalRunTime_seconds
1,280,10,,
2,276,10,,
3,283,10,,
4,300,10,,
5,309,10,,
6,310,10,,
7,302,10,,
8,302,10,,
9,302,10,,
10,302,10,,
11,307,10,,
12,302,10,,
13,303,10,,
14,302,10,,
15,301,10,,
16,302,10,,
17,306,10,,
18,303,10,,
19,301,10,,
20,304,10,,
21,301,10,,
22,302,10,,
23,306,10,,
24,302,10,,
25,302,10,,
26,302,10,,
27,301,10,,
28,302,10,,
29,307,10,,
30,303,10,,
31,303,10,,
32,301,10,,
33,303,10,,
34,300,10,,
35,306,10,,
36,302,10,,
37,300,10,,
38,302,10,,
39,301,10,,
40,303,10,,
41,308,10,,
42,302,10,,
43,302,10,,
44,304,10,,
45,301,10,,
46,303,10,,
47,307,10,,
48,303,10,,
49,301,10,,
50,302,10,,
