sample,runTime_seconds,toolName
1,171.63,Robotium
2,171.15,Robotium
3,170.88,Robotium
4,171.28,Robotium
5,170.94,Robotium
6,171.03,Robotium
7,171.28,Robotium
9,170.93,Robotium
11,170.88,Robotium
12,171.03,Robotium
13,170.64,Robotium
14,170.95,Robotium
15,170.67,Robotium
16,170.89,Robotium
17,171.12,Robotium
18,171.01,Robotium
19,171.22,Robotium
20,171.19,Robotium
21,171.17,Robotium
22,171.04,Robotium
23,171.26,Robotium
24,170.9,Robotium
25,170.92,Robotium
26,170.79,Robotium
27,170.87,Robotium
28,171.01,Robotium
29,171.07,Robotium
30,170.8,Robotium
31,171.64,Robotium
32,170.9,Robotium
33,170.97,Robotium
34,171.05,Robotium
35,170.98,Robotium
36,170.98,Robotium
37,171.01,Robotium
38,170.84,Robotium
39,170.82,Robotium
40,170.91,Robotium
41,171.08,Robotium
42,170.81,Robotium
43,171.1,Robotium
44,171.18,Robotium
45,171,Robotium
46,171.04,Robotium
47,170.86,Robotium
48,170.95,Robotium
49,171.02,Robotium
50,171.2,Robotium
51,170.93,Robotium
52,170.81,Robotium
53,171.24,Robotium
54,170.89,Robotium
55,171.1,Robotium
56,520.52,Appium
57,498.61,Appium
58,498.2,Appium
59,500.12,Appium
60,498.6,Appium
61,497.38,Appium
62,499.73,Appium
63,499.55,Appium
64,500.31,Appium
65,499.9,Appium
66,499.85,Appium
67,497.97,Appium
68,498.38,Appium
69,500.32,Appium
70,499.39,Appium
71,499.63,Appium
72,499.88,Appium
73,498.82,Appium
74,497.93,Appium
75,498.02,Appium
76,500.43,Appium
77,506.15,Appium
78,530.12,Appium
79,551.55,Appium
80,548.72,Appium
81,514.01,Appium
82,493.2,Appium
83,501.19,Appium
84,500.12,Appium
85,500.17,Appium
86,501.4,Appium
87,500,Appium
88,502.2,Appium
89,501.39,Appium
90,502.43,Appium
91,500.35,Appium
92,500.41,Appium
93,518.35,Appium
94,545.41,Appium
95,552.97,Appium
96,535.16,Appium
97,503.34,Appium
98,503.54,Appium
99,502.43,Appium
100,498.49,Appium
101,496.35,Appium
102,500.32,Appium
103,501.89,Appium
104,500.91,Appium
105,500.01,Appium
106,79.37,Espresso
107,79.51,Espresso
108,78.35,Espresso
109,78.69,Espresso
110,79.47,Espresso
111,78.5,Espresso
112,78.2,Espresso
113,78.64,Espresso
114,78.78,Espresso
115,79.36,Espresso
116,78.37,Espresso
117,78.36,Espresso
118,78.43,Espresso
119,78.33,Espresso
120,79.24,Espresso
121,79.36,Espresso
122,78.63,Espresso
123,78.28,Espresso
124,78.07,Espresso
125,79.78,Espresso
126,78.84,Espresso
127,78.76,Espresso
128,78.99,Espresso
129,78.95,Espresso
130,78.33,Espresso
131,78.55,Espresso
132,78.64,Espresso
133,78.67,Espresso
134,78.6,Espresso
135,78.65,Espresso
136,78.72,Espresso
137,78.33,Espresso
138,78.28,Espresso
139,79.31,Espresso
140,78.2,Espresso
141,78.61,Espresso
142,78.64,Espresso
143,78.63,Espresso
144,78.44,Espresso
145,77.92,Espresso
146,78.71,Espresso
147,78.41,Espresso
148,81.18,Espresso
149,80.3,Espresso
150,78.55,Espresso
151,78.13,Espresso
152,78.83,Espresso
153,79.5,Espresso
154,78.71,Espresso
155,77.83,Espresso
